Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Central Europe and the Baltics,CEB,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,93.08437685,85.70504625,84.9977009,89.96425991,91.43132632,88.55001821,86.88358924,92.69949542,96.24182493,95.04636018,89.70176544,96.04649873,95.38000175,93.63110658,95.67568005,100.1406493,106.7168905,103.5459282,95.35738648,96.58150831,94.74868359,92.30848485,94.69854093,98.09619874,98.38161393,97.36109926,95.48033495,92.89881474,89.04307784,92.52529053,96.08738273,100,109.4715748,105.3407737,103.6185451,104.2562641,110.4779963,108.1574821,106.0987919,103.2270033,104.1877969,108.1840473,105.5189456,105.8298497,109.3089491
Channel Islands,CHI,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,163.9481665,194.373102,175.309862,143.5657943,142.3640711,120.4587637,101.4137216,93.14939981,87.49661662,89.87878698,86.20328369,88.26571453,93.27669576,95.10622163,98.43500115,104.3821266,106.9282938,114.7581452,112.7163518,107.3531493,106.4922844,95.93079312,91.66225187,86.21577604,91.04054922,96.32597386,100.1429709,97.51784995,98.26347671,95.13400811,100,100.7090612,102.901314,101.3641117,91.88076144,90.9875245,92.63847118,95.81796967,97.03681957,92.1456111,84.61290142,87.50244333,84.46853746,91.95063746
China,CHN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,269.9044662,242.2185283,231.077956,227.1313751,202.4460096,171.8438767,124.1366548,107.2287053,117.2009968,136.3653141,100.5807288,88.34400607,84.58259544,90.00138534,70.55569631,78.63891691,86.36269689,93.0064153,98.01445265,92.68489485,92.75977559,96.76857828,94.56224115,88.38464981,85.85129338,84.92059733,86.25984316,89.32859,97.00843945,101.1068686,100,102.693887,108.6697745,114.65374,118.3584515,130.0438073,123.8909614,120.2553914,121.7989534,121.1788215,123.6447725,127.328418,125.966431,116.0394435
Cote d'Ivoire,CIV,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,132.2103188,113.6353896,103.4674422,96.70995893,96.08089666,96.3628428,115.4210789,128.359591,131.3456633,124.1800981,126.2160574,121.4143409,126.4911478,124.2108353,76.9613743,88.51032571,88.56989705,86.64773198,92.52057411,91.54509393,86.57395444,89.6489657,93.21388403,99.68051658,100.923495,101.1262899,100.8942821,102.5876666,107.0555906,107.356929,100,102.2003896,97.30898586,100.4617714,100.6939498,93.75935061,94.8265692,95.12751901,96.20536148,92.28204943,95.71895902,97.59266708,92.83308416,96.95791424
Cameroon,CMR,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,137.4323568,126.3095233,123.4979842,128.4093973,130.6799673,136.5801648,151.2066533,169.1564915,164.4498629,151.7457097,156.2864701,149.1026199,150.0018877,139.5191457,90.25845202,96.98574075,98.01618444,97.02167327,100.4222579,99.36615389,93.67372211,96.83261115,100.3196504,103.5456567,102.8954214,99.82876393,101.4704253,102.1028784,105.006232,106.4696702,100,100.2187717,96.43044758,98.94613622,99.7523549,93.53986044,95.51087093,96.33330427,97.76271387,96.75547537,99.70963625,99.84806864,96.80479805,104.9233231
"Congo, Dem. Rep.",COD,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1410682,339.2713083,305.0609492,236.9824606,234.2050476,223.3858094,238.799752,368.3338471,511.0519303,246.0076633,110.402277,91.06935658,87.00094336,85.23430528,93.91874163,91.38172587,92.5932804,96.26170268,100,105.4814152,107.2057801,108.0549776,109.458545,121.6126595,118.3089275,104.1019431,118.0785922,124.7908891,126.2649417,118.3189905,128.5759316,126.9674127
"Congo, Rep.",COG,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,136.6403517,147.5625632,157.2202542,156.1293131,145.5625549,127.2615567,94.35768968,84.1971924,81.66393297,78.52650231,69.14929579,69.45560443,77.16346142,81.77889222,92.08342094,93.69577661,99.29216644,105.5530407,99.07883926,89.89776656,81.43620104,78.87831808,78.67432523,68.96456245,75.21810823,84.79068698,83.09241912,92.33012806,95.4405042,90.44510509,100,100.1545302,105.2947336,101.3365122,95.88218774,77.58139407,74.18487736,77.42173582,78.27494348,73.656514,67.99663509,65.81517202,62.74119942,66.68001157
